ANIO,MES,PROVINCIA,DISTRITO,TIPO_DELITO,NIVEL_RIESGO_REAL,NIVEL_RIESGO_PREDICHO,TASA_REAL,TASA_PREDICHA,DELITOS_ESTIMADOS
2026,3,ASCOPE,PAIJAN,Violencia contra la mujer e integrantes,MEDIO,MEDIO,4.915,5.589949009313079,16
2026,3,PATAZ,PARCOY,Hurto,BAJO,BAJO,0.782,0.992563830973769,3
2026,3,PATAZ,PARCOY,Robo,BAJO,BAJO,0.391,0.6354035093216392,2
2026,3,PATAZ,PARCOY,Violencia contra la mujer e integrantes,BAJO,BAJO,0.782,1.3273296093564175,3
2026,3,PATAZ,PATAZ,Estafa,BAJO,BAJO,1.046,1.1238966497460938,1
2026,3,PATAZ,PATAZ,Extorsión,BAJO,BAJO,3.138,1.6478875694475248,2
2026,3,PATAZ,PATAZ,Hurto,MEDIO,MEDIO,5.23,4.419444495877343,4
2026,3,PATAZ,PATAZ,Robo,BAJO,BAJO,2.092,2.3671656323272674,2
2026,3,PATAZ,PATAZ,Secuestro,BAJO,BAJO,1.046,1.2562061018090778,1
2026,3,PATAZ,PATAZ,Violencia contra la mujer e integrantes,BAJO,BAJO,3.138,1.6620234926560389,2
2026,3,TRUJILLO,POROTO,Hurto,BAJO,BAJO,3.365,5.110208081158468,2
2026,3,TRUJILLO,POROTO,Robo,BAJO,BAJO,3.365,4.179070520269215,1
2026,3,TRUJILLO,POROTO,Secuestro,BAJO,BAJO,3.365,4.012975395559037,1
2026,3,CHEPEN,PUEBLO NUEVO,Extorsión,MEDIO,BAJO,2.547,1.0228948630138839,2
2026,3,CHEPEN,PUEBLO NUEVO,Hurto,BAJO,BAJO,0.637,1.8556440172724475,3
2026,3,CHEPEN,PUEBLO NUEVO,Robo,MEDIO,MEDIO,2.547,3.741696368464221,6
2026,3,CHEPEN,PUEBLO NUEVO,Violencia contra la mujer e integrantes,MEDIO,MEDIO,4.458,5.408780768324949,8
2026,3,SANTIAGO DE CHUCO,QUIRUVILCA,Extorsión,BAJO,BAJO,1.927,1.8003773701835386,2
2026,3,SANTIAGO DE CHUCO,QUIRUVILCA,Robo,BAJO,BAJO,0.963,1.3723160357414694,1
