ANIO,MES,PROVINCIA,DISTRITO,TIPO_DELITO,POBLACION,DENSIDAD_POB,LAG_1,LAG_3,PROMEDIO_MOVIL_3M,VAR_INTERANUAL,CANTIDAD_DELITOS,TASA_DELITOS_10K,NIVEL_RIESGO
2024,10,ASCOPE,RAZURI,Robo,9710,32.1,0,0,0.0,1,1,1.03,BAJO
2024,10,TRUJILLO,SALAVERRY,Estafa,20825,53.3,0,3,1.67,1,5,2.401,MEDIO
2024,10,TRUJILLO,SALAVERRY,Extorsión,20825,53.3,1,2,1.0,1,1,0.48,BAJO
2024,10,TRUJILLO,SALAVERRY,Hurto,20825,53.3,6,8,6.0,-7,8,3.842,MEDIO
2024,10,TRUJILLO,SALAVERRY,Violencia contra la mujer e integrantes,20825,53.3,4,12,7.67,-16,2,0.96,BAJO
2024,10,OTUZCO,SALPO,Robo,5725,29.7,0,0,0.0,1,1,1.747,BAJO
2024,10,PACASMAYO,SAN JOSE,Estafa,12904,72.4,2,0,0.67,1,1,0.775,BAJO
2024,10,PACASMAYO,SAN JOSE,Extorsión,12904,72.4,1,1,1.0,1,1,0.775,BAJO
2024,10,PACASMAYO,SAN JOSE,Hurto,12904,72.4,1,3,2.67,0,3,2.325,BAJO
2024,10,PACASMAYO,SAN JOSE,Violencia contra la mujer e integrantes,12904,72.4,10,6,8.33,4,10,7.75,MEDIO
2024,10,PACASMAYO,SAN PEDRO DE LLOC,Estafa,17106,24.5,3,2,2.33,3,3,1.754,BAJO
2024,10,PACASMAYO,SAN PEDRO DE LLOC,Extorsión,17106,24.5,2,2,3.33,0,3,1.754,BAJO
2024,10,PACASMAYO,SAN PEDRO DE LLOC,Hurto,17106,24.5,10,7,7.67,-7,6,3.508,MEDIO
2024,10,PACASMAYO,SAN PEDRO DE LLOC,Robo,17106,24.5,3,3,2.0,0,1,0.585,BAJO
2024,10,PACASMAYO,SAN PEDRO DE LLOC,Violencia contra la mujer e integrantes,17106,24.5,15,8,9.67,-3,13,7.6,MEDIO
2024,10,SANCHEZ CARRION,SANAGORAN,Hurto,15546,48.0,0,0,0.0,1,1,0.643,BAJO
2024,10,ASCOPE,SANTIAGO DE CAO,Estafa,20077,165.4,3,0,1.33,1,2,0.996,BAJO
2024,10,ASCOPE,SANTIAGO DE CAO,Extorsión,20077,165.4,4,7,5.67,2,7,3.487,MEDIO
2024,10,ASCOPE,SANTIAGO DE CAO,Hurto,20077,165.4,10,13,8.67,-3,6,2.988,MEDIO
2024,10,ASCOPE,SANTIAGO DE CAO,Robo,20077,165.4,1,4,6.0,-6,4,1.992,MEDIO
2024,10,ASCOPE,SANTIAGO DE CAO,Violencia contra la mujer e integrantes,20077,165.4,15,23,17.67,-6,16,7.969,ALTO
2024,10,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,Estafa,21354,19.9,1,2,1.0,2,2,0.937,BAJO
2024,10,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,Violencia contra la mujer e integrantes,21354,19.9,3,18,9.0,8,11,5.151,MEDIO
2024,10,SANCHEZ CARRION,SARIN,Violencia contra la mujer e integrantes,9694,28.5,1,0,1.67,1,2,2.063,BAJO
2024,10,TRUJILLO,SIMBAL,Estafa,4168,10.7,0,0,0.0,1,1,2.399,BAJO
2024,10,OTUZCO,SINSICAP,Robo,8148,18.0,0,0,0.0,1,1,1.227,BAJO
2024,10,OTUZCO,SINSICAP,Secuestro,8148,18.0,0,0,0.0,1,2,2.455,BAJO
2024,10,SANTIAGO DE CHUCO,SITABAMBA,Robo,3012,10.5,1,1,0.67,1,1,3.32,BAJO
